nivel1,nivel2,nivel3,valor
Mundo,Africa,Algeria,33333216
Mundo,Africa,Angola,12420476
Mundo,Africa,Benin,8078314
Mundo,Africa,Botswana,1639131
Mundo,Africa,Burkina Faso,14326203
Mundo,Africa,Burundi,8390505
Mundo,Africa,Cameroon,17696293
Mundo,Africa,Central African Republic,4369038
Mundo,Africa,Chad,10238807
Mundo,Africa,Comoros,710960
Mundo,Africa,"Congo, Dem. Rep.",64606759
Mundo,Africa,"Congo, Rep.",3800610
Mundo,Africa,Cote d'Ivoire,18013409
Mundo,Africa,Djibouti,496374
Mundo,Africa,Egypt,80264543
Mundo,Africa,Equatorial Guinea,551201
Mundo,Africa,Eritrea,4906585
Mundo,Africa,Ethiopia,76511887
Mundo,Africa,Gabon,1454867
Mundo,Africa,Gambia,1688359
Mundo,Africa,Ghana,22873338
Mundo,Africa,Guinea,9947814
Mundo,Africa,Guinea-Bissau,1472041
Mundo,Africa,Kenya,35610177
Mundo,Africa,Lesotho,2012649
Mundo,Africa,Liberia,3193942
Mundo,Africa,Libya,6036914
Mundo,Africa,Madagascar,19167654
Mundo,Africa,Malawi,13327079
Mundo,Africa,Mali,12031795
Mundo,Africa,Mauritania,3270065
Mundo,Africa,Mauritius,1250882
Mundo,Africa,Morocco,33757175
Mundo,Africa,Mozambique,19951656
Mundo,Africa,Namibia,2055080
Mundo,Africa,Niger,12894865
Mundo,Africa,Nigeria,135031164
Mundo,Africa,Reunion,798094
Mundo,Africa,Rwanda,8860588
Mundo,Africa,Sao Tome and Principe,199579
Mundo,Africa,Senegal,12267493
Mundo,Africa,Sierra Leone,6144562
Mundo,Africa,Somalia,9118773
Mundo,Africa,South Africa,43997828
Mundo,Africa,Sudan,42292929
Mundo,Africa,Swaziland,1133066
Mundo,Africa,Tanzania,38139640
Mundo,Africa,Togo,5701579
Mundo,Africa,Tunisia,10276158
Mundo,Africa,Uganda,29170398
Mundo,Africa,Zambia,11746035
Mundo,Africa,Zimbabwe,12311143
Mundo,Americas,Argentina,40301927
Mundo,Americas,Bolivia,9119152
Mundo,Americas,Brazil,190010647
Mundo,Americas,Canada,33390141
Mundo,Americas,Chile,16284741
Mundo,Americas,Colombia,44227550
Mundo,Americas,Costa Rica,4133884
Mundo,Americas,Cuba,11416987
Mundo,Americas,Dominican Republic,9319622
Mundo,Americas,Ecuador,13755680
Mundo,Americas,El Salvador,6939688
Mundo,Americas,Guatemala,12572928
Mundo,Americas,Haiti,8502814
Mundo,Americas,Honduras,7483763
Mundo,Americas,Jamaica,2780132
Mundo,Americas,Mexico,108700891
Mundo,Americas,Nicaragua,5675356
Mundo,Americas,Panama,3242173
Mundo,Americas,Paraguay,6667147
Mundo,Americas,Peru,28674757
Mundo,Americas,Puerto Rico,3942491
Mundo,Americas,Trinidad and Tobago,1056608
Mundo,Americas,United States,301139947
Mundo,Americas,Uruguay,3447496
Mundo,Americas,Venezuela,26084662
Mundo,Asia,Afghanistan,31889923
Mundo,Asia,Bahrain,708573
Mundo,Asia,Bangladesh,150448339
Mundo,Asia,Cambodia,14131858
Mundo,Asia,China,1318683096
Mundo,Asia,"Hong Kong, China",6980412
Mundo,Asia,India,1110396331
Mundo,Asia,Indonesia,223547000
Mundo,Asia,Iran,69453570
Mundo,Asia,Iraq,27499638
Mundo,Asia,Israel,6426679
Mundo,Asia,Japan,127467972
Mundo,Asia,Jordan,6053193
Mundo,Asia,"Korea, Dem. Rep.",23301725
Mundo,Asia,"Korea, Rep.",49044790
Mundo,Asia,Kuwait,2505559
Mundo,Asia,Lebanon,3921278
Mundo,Asia,Malaysia,24821286
Mundo,Asia,Mongolia,2874127
Mundo,Asia,Myanmar,47761980
Mundo,Asia,Nepal,28901790
Mundo,Asia,Oman,3204897
Mundo,Asia,Pakistan,169270617
Mundo,Asia,Philippines,91077287
Mundo,Asia,Saudi Arabia,27601038
Mundo,Asia,Singapore,4553009
Mundo,Asia,Sri Lanka,20378239
Mundo,Asia,Syria,19314747
Mundo,Asia,Taiwan,23174294
Mundo,Asia,Thailand,65068149
Mundo,Asia,Vietnam,85262356
Mundo,Asia,West Bank and Gaza,4018332
Mundo,Asia,"Yemen, Rep.",22211743
Mundo,Europe,Albania,3600523
Mundo,Europe,Austria,8199783
Mundo,Europe,Belgium,10392226
Mundo,Europe,Bosnia and Herzegovina,4552198
Mundo,Europe,Bulgaria,7322858
Mundo,Europe,Croatia,4493312
Mundo,Europe,Czech Republic,10228744
Mundo,Europe,Denmark,5468120
Mundo,Europe,Finland,5238460
Mundo,Europe,France,61083916
Mundo,Europe,Germany,82400996
Mundo,Europe,Greece,10706290
Mundo,Europe,Hungary,9956108
Mundo,Europe,Iceland,301931
Mundo,Europe,Ireland,4109086
Mundo,Europe,Italy,58147733
Mundo,Europe,Montenegro,684736
Mundo,Europe,Netherlands,16570613
Mundo,Europe,Norway,4627926
Mundo,Europe,Poland,38518241
Mundo,Europe,Portugal,10642836
Mundo,Europe,Romania,22276056
Mundo,Europe,Serbia,10150265
Mundo,Europe,Slovak Republic,5447502
Mundo,Europe,Slovenia,2009245
Mundo,Europe,Spain,40448191
Mundo,Europe,Sweden,9031088
Mundo,Europe,Switzerland,7554661
Mundo,Europe,Turkey,71158647
Mundo,Europe,United Kingdom,60776238
Mundo,Oceania,Australia,20434176
Mundo,Oceania,New Zealand,4115771
